state,region,date,cases.100k,deaths.100k
AL,South,2020-04-01,2.2804606781629784,0.2929032063695568
AL,South,2020-04-02,2.8348846045053535,0.1882949183804294
AL,South,2020-04-03,3.73800282414482,0.1673732607826039
AL,South,2020-04-04,3.3108523148558833,0.15691243198369115
AL,South,2020-04-05,3.5190228079542467,0.12971427710651803
AL,South,2020-04-06,3.50786459056874,0.13599077438586568
AL,South,2020-04-07,3.580592257456419,0.1494404114130392
AL,South,2020-04-08,3.9201955923925507,0.13860598158559387
AL,South,2020-04-09,4.524308455529762,0.1307603599864093
AL,South,2020-04-10,4.545230113127587,0.12552994558695293
AL,South,2020-04-11,4.516462833930577,0.14383639598505021
AL,South,2020-04-12,5.102269246669691,0.12814515278668112
AL,South,2020-04-13,5.1388821474658855,0.15429722478396296
AL,South,2020-04-14,5.094423625070506,0.15952763918341933
AL,South,2020-04-15,5.345483516244412,0.15429722478396296
AL,South,2020-04-16,4.984584922681923,0.18306450398097301
AL,South,2020-04-17,4.534769284328674,0.19091012558015757
AL,South,2020-04-18,4.485080347533839,0.21220538420651566
AL,South,2020-04-19,4.291555014753953,0.21220538420651566
AL,South,2020-04-20,3.909734763593638,0.22416061711955879
AL,South,2020-04-21,3.980345357986299,0.25703750763042743
AL,South,2020-04-22,4.333398329949604,0.27198154877173136
AL,South,2020-04-23,4.160794654767544,0.28592932050361497
AL,South,2020-04-24,4.241866077959117,0.2789554346376732
AL,South,2020-04-25,4.291555014753953,0.244086005307964
AL,South,2020-04-26,4.44062182513846,0.2271494253478196
AL,South,2020-04-27,4.278478978755312,0.21519419243477647
AL,South,2020-04-28,4.372626437945527,0.24508227471738428
AL,South,2020-04-29,4.179101105165641,0.23910465826086272
AL,South,2020-04-30,3.812972097203695,0.22416061711955879
AL,South,2020-05-01,3.823432926002608,0.2405990623749931
AL,South,2020-05-02,4.145103411569175,0.20921657597825488
AL,South,2020-05-03,4.3804720595447115,0.2039861615787985
AL,South,2020-05-04,4.4223153747403625,0.20921657597825488
AL,South,2020-05-05,4.963663265084097,0.23013823357608038
AL,South,2020-05-06,5.076117174672409,0.266751134372275
AL,South,2020-05-07,5.546854470623482,0.2824423775706441
AL,South,2020-05-08,6.059435081770207,0.2929032063695568
AL,South,2020-05-09,6.208501892154714,0.266751134372275
AL,South,2020-05-10,5.957442000980808,0.27459675597145955
AL,South,2020-05-11,5.952211586581352,0.295518413569285
AL,South,2020-05-12,6.150967333760693,0.35828338636276147
AL,South,2020-05-13,5.918213892984885,0.3530529719633051
AL,South,2020-05-14,6.302649351344928,0.33997693596466416
AL,South,2020-05-15,6.085587153767489,0.2981336207690132
AL,South,2020-05-16,5.9862092801778175,0.266751134372275
AL,South,2020-05-17,5.499780741028375,0.25629030557336224
AL,South,2020-05-18,5.745610217802825,0.25105989117390587
AL,South,2020-05-19,5.784838325798748,0.2641359271725468
AL,South,2020-05-20,6.768156232896545,0.2275230263763522
AL,South,2020-05-21,7.097672340062297,0.2066013687785267
AL,South,2020-05-22,6.71846729610171,0.17783408958151664
AL,South,2020-05-23,7.2598151864454445,0.17260367518206027
AL,South,2020-05-24,7.333040988037833,0.17260367518206027
AL,South,2020-05-25,8.407891147126119,0.2039861615787985
AL,South,2020-05-26,9.320598459831254,0.23798385517526494
AL,South,2020-05-27,9.561197522206248,0.2066013687785267
AL,South,2020-05-28,9.095690640654631,0.18044929678124483
AL,South,2020-05-29,9.45920444141685,0.21183178317798307
AL,South,2020-05-30,9.647499359797278,0.20137095437907032
AL,South,2020-05-31,9.945632980566291,0.21183178317798307
AL,South,2020-06-01,10.607280402097523,0.24844468397417765
AL,South,2020-06-02,9.898559250971184,0.2275230263763522
AL,South,2020-06-03,8.371278246329924,0.19091012558015757
AL,South,2020-06-04,7.950229887173685,0.18306450398097301
AL,South,2020-06-05,7.471646969623428,0.22229261197689582
AL,South,2020-06-06,7.877004085581296,0.2066013687785267
AL,South,2020-06-07,8.214365814346232,0.19352533277988576
AL,South,2020-06-08,7.775011004791897,0.23013823357608038
AL,South,2020-06-09,7.5527183928150015,0.21706219757743944
AL,South,2020-06-10,8.415736768725303,0.23798385517526494
AL,South,2020-06-11,10.445137555714375,0.266751134372275
AL,South,2020-06-12,12.129330992339327,0.30336403516846955
AL,South,2020-06-13,13.635690339382762,0.25367509837363406
AL,South,2020-06-14,14.571934516885452,0.21967740477716763
AL,South,2020-06-15,15.094975956831089,0.21444699037771126
AL,South,2020-06-16,15.65724550477265,0.17521888238178845
AL,South,2020-06-17,15.403570406399016,0.15952763918341933
AL,South,2020-06-18,16.258743160710132,0.17260367518206027
