id,adjusted,age,bmi,cohort1,cohort2,cohort3,cohort4,endurancecat,endurancespeed,female,footwear,group,injury,k5_d,k5_di,k5_ti,k5_ti_adj,k5_tr,k10_d,k10_di,k10_ti,k10_ti_adj,k10_tr,m5_d,m5_di,m5_ti,m5_ti_adj,m5_tr,m10_d,m10_di,m10_ti,m10_ti_adj,m10_tr,mh_d,mh_di,mh_ti,mh_ti_adj,mh_tr,mf_d,mf_di,mf_ti,mf_ti_adj,mf_tr,max,sprint,tempo,typical,model1_time,model2_time
1,1,25,21.62211609,,,,,1,2,1,2,2,1,,,,,,10000,4,2798,2860.482422,2,,,,,,16090,4,4612,4798.809082,2,21097.5,2,6320,6257.026367,2,,,,,,47,1,0,30,,
2,1,41,23.90596962,,,,,1,2,0,2,2,1,5000,3,1210,1210,2,,,,,,,,,,,,,,,,21097.5,4,5510,5654.475586,1,,,,,,28,1,1,23,,
3,1,25,21.640728,,,,,2,3,0,2,2,1,5000,3,994,994.000061,2,,,,,,,,,,,,,,,,21097.5,3,4520,4520,2,,,,,,70,1,1,50,,
4,1,35,23.5923233,1,,,,2,5,0,2,1,2,5000,3,1075,1075,1,10000,5,2135,,1,,,,,,,,,,,,,,,,42195,4,10295,10399.02832,1,60,1,1,50,,
5,1,34,22.70640373,,,,,2,3,0,2,1,1,5000,3,1186,1186,1,,,,,,,,,,,16090,4,4120,4268.437012,3,21097.5,3,5475,5475,2,,,,,,15,0,0,8,,
6,1,45,42.08754349,,,,,1,1,1,2,2,2,5000,3,3240,3240,2,,,,,,,,,,,,,,,,21097.5,3,13500,13500,2,,,,,,15,0,1,10,,
7,1,33,22.51829529,1,1,1,1,2,3,0,2,2,2,5000,4,1292,1299.988647,3,,,,,,,,,,,,,,,,21097.5,3,5760,5760,2,42195,3,12292,12292,2,50,0,0,40,,
8,1,58,25.23407936,,,,,2,3,0,1,2,3,,,,,,10000,4,3420,3513.815918,2,,,,,,,,,,,21097.5,3,7680,7680,2,,,,,,35,0,0,25,,
9,1,29,24.50540733,,,,,2,5,0,1,3,2,5000,3,1440,1440,2,10000,3,3240,3240,2,,,,,,,,,,,21097.5,3,7320,7320,3,,,,,,36,0,0,20,,
10,1,36,25.40861511,,,,,1,2,1,2,1,1,5000,3,2115,2115,3,10000,2,4210,4166.919434,2,,,,,,,,,,,21097.5,2,9180,9047.732422,1,,,,,,36,0,0,20,,
11,1,54,26.40168762,,,,,1,2,0,2,3,1,5000,3,1560,1560,2,10000,2,3360,3332.502197,2,,,,,,,,,,,,,,,,,,,,,18,0,0,16,,
12,1,38,25.56031227,1,,,,1,2,0,2,3,1,,,,,,10000,2,2580,2563.756348,3,,,,,,,,,,,,,,,,42195,4,10980,11098.41113,1,65,0,1,50,206.1630707,
13,1,34,22.60793114,1,1,,,1,2,0,2,1,1,,,,,,,,,,,,,,,,16090,1,3896,,1,21097.5,3,4995,4995,2,42195,3,10694,10694,2,88,1,1,80,,
14,1,39,24.97483635,1,1,1,1,3,6,0,2,1,1,5000,4,1222,1229.144043,1,,,,,,,,,,,,,,,,21097.5,4,5884,6049.047852,1,42195,2,13452,13387.69922,1,51,0,1,40,,
15,1,29,25.95155525,,,,,2,3,0,1,2,2,,,,,,10000,3,3720,3720,2,,,,,,,,,,,21097.5,3,8460,8460,2,,,,,,122,0,0,16,,
16,1,23,20.86985588,,,,,2,3,1,2,3,3,5000,3,1690,1690,3,,,,,,,,,,,,,,,,21097.5,2,8193,8087.480957,2,,,,,,8,0,0,18,,
17,1,33,24.30183029,1,1,,,2,3,1,2,2,1,,,,,,,,,,,,,,,,,,,,,21097.5,3,7142,7142,2,42195,3,14940,14940,2,40,0,0,30,,
18,1,38,24.55106735,,,,,2,3,0,2,1,1,,,,,,10000,3,2730,2730,2,,,,,,16090,2,4620,4487.194336,2,,,,,,,,,,,53,0,0,40,,
19,1,20,22.90478325,,,,,1,1,0,1,2,1,5000,4,893,896.809082,2,,,,,,,,,,,16090,3,3499,3499,2,,,,,,42195,1,9515,,2,125,1,1,80,,
20,1,34,24.57002449,1,1,,,3,8,0,1,3,1,,,,,,,,,,,,,,,,,,,,,21097.5,3,4706,4706,1,42195,3,10747,10747,1,75,1,1,65,170.454483,
21,1,33,27.97727585,,,,,1,2,0,2,2,1,5000,3,1625,1625,2,10000,2,3978,3939.514648,2,,,,,,,,,,,,,,,,,,,,,6,0,0,4,,
22,1,53,23.16774559,1,,1,,2,4,0,2,1,1,5000,4,1050,1055.270142,1,,,,,,,,,,,16090,4,3720,3840.591553,2,,,,,,42195,3,10875,10875,2,45,1,1,35,,
23,1,27,25.24778557,,,,,2,3,0,2,3,1,5000,4,2412,2439.992188,3,10000,4,4320,4470.77832,3,,,,,,,,,,,,,,,,,,,,,12,0,0,8,,
24,1,32,29.21840668,,,,,1,2,0,2,3,2,,,,,,10000,3,2588,2588,2,,,,,,,,,,,21097.5,4,5643,5794.630371,2,,,,,,50,0,1,30,,
25,1,34,23.58257103,1,1,1,1,1,2,1,2,2,1,5000,2,1603,1546.984375,2,,,,,,,,,,,,,,,,21097.5,4,7140,7384.495117,2,42195,3,16580,16580,1,39,0,0,20,,
26,1,44,20.03506279,1,1,1,1,1,2,1,2,3,1,5000,3,1457,1457,2,,,,,,,,,,,,,,,,21097.5,2,7260,7177.023438,2,42195,2,15440,15355.34863,1,45,1,1,35,259.3624573,263.2771912
27,1,27,29.88360977,1,1,,,2,3,0,1,1,1,,,,,,,,,,,,,,,,,,,,,21097.5,3,6672,6672,2,42195,4,14430,14635.20801,1,28,1,1,18,,
28,1,36,23.90688896,,,,,2,3,0,2,3,1,5000,3,1160,1160,1,10000,4,2430,2476.989746,2,,,,,,,,,,,21097.5,3,5369,5369,1,,,,,,51,1,1,40,,
