userId,avg.rating,avg.action.scifi,rating
2,3.486842105263158,5,5
4,4.348039215686274,5,5
7,3.465909090909091,2,3
8,3.8663793103448274,4,4
15,2.6217647058823528,2.75,4
19,3.534278959810875,3,3
21,3.506172839506173,4,5
22,3.275,5,5
23,3.6329201101928374,3.5,3.5
26,3.4680232558139537,4,4
30,3.765084075173096,2.8333333333333335,4
32,3.6666666666666665,5,5
34,3.935828877005348,4,5
42,4.014285714285714,5,5
43,3,3,3
50,3.282608695652174,5,5
66,3.9591836734693877,5,5
67,3.7572815533980584,4,4
71,4.260869565217392,3,3
73,3.374223602484472,2.5,3
75,3.279310344827586,4,4
77,3.3190476190476192,3.25,4
78,4.298479087452471,5,5
84,3.7155172413793105,3,3
85,3.1869158878504673,5,5
86,3.594736842105263,2,2
89,4.590909090909091,4,4
91,4.173333333333333,5,5
92,3.154471544715447,5,5
97,3.015625,2,2
101,3.9,4.5,4.5
103,3.393617021276596,2.375,3
104,4.052631578947368,5,5
105,3.362857142857143,3.5,3.5
108,3.4516129032258065,3,3
110,4.158333333333333,5,5
111,3.5117302052785924,4,4.5
118,4,3.6666666666666665,5
119,3.500780031201248,2.3333333333333335,4
120,3.4855072463768115,4,4
121,4.0375,5,5
124,3.7588235294117647,5,5
126,3.609375,5,5
130,3.2906666666666666,3.5,3.5
134,4.008038585209003,4.5,5
137,3.7375,5,5
139,3.610294117647059,3,3
144,3.5121951219512195,5,5
145,4.5,5,5
148,4.007575757575758,3.5,3.5
150,3.1138014527845037,2.375,3.5
151,3.734375,5,5
155,3.6862745098039214,4,4
157,3.4003067484662575,3.25,4
159,3.5675675675675675,3.25,3.5
161,3.588888888888889,5,5
163,3.191358024691358,2,2
165,2.847022587268994,2,4.5
168,3.2586206896551726,4,4
177,3.96875,4,4
180,3.4583333333333335,4,4
182,3.816793893129771,4,4
184,3.7333333333333334,5,5
185,3.607843137254902,4,4
188,3.58,5,5
194,3.48,4,4
195,2.948453608247423,2.4285714285714284,3
197,4.063492063492063,5,5
199,3.6492890995260665,3.875,5
201,4.131147540983607,4,4
205,3.4101941747572817,3.1666666666666665,2.5
212,3.1090182648401825,3,3
213,2.6604395604395603,2.388888888888889,4
214,4.018691588785047,5,5
217,4.211538461538462,4.25,5
220,3.5536332179930796,4,4
225,4.107142857142857,5,5
228,4.25,5,5
232,3.967741935483871,3,3
237,3.272727272727273,2.5,2.5
241,3.1607142857142856,4,4
243,3.3941368078175898,3.3333333333333335,4
244,3.6621621621621623,3.5,4
246,3.6153846153846154,5,5
247,3.5157894736842104,3.5,4
249,3.6,4,4
251,4.34453781512605,4,4
253,3.6609756097560977,4,4
254,3.482269503546099,3,3
260,3.768292682926829,4,4
261,3.63,4,4
268,3.625,4.5,5
271,3.7569444444444446,4.5,4.5
275,4.452970297029703,5,5
277,3.9827586206896552,4,4
279,3.192982456140351,4,4
281,3.975609756097561,4.5,4.5
282,3.6181102362204722,2,2
285,3.1635071090047395,2.8,3
287,4.531496062992126,4.625,5
288,3.8133333333333335,4,4
291,4.2298850574712645,4.5,4.5
292,3.9532374100719423,4,4
293,3.4683544303797467,2.75,3.5
294,3.584477296726505,2.75,3
295,3.944915254237288,5,5
299,4.160762942779291,4,4
300,4.056818181818182,4.5,4.5
302,3.342857142857143,3,3
306,3.406201550387597,3,4
311,3.006378802747792,3.3333333333333335,4.5
312,3.3028169014084505,2.3333333333333335,5
313,3.5264900662251657,3.5,3.5
316,3.617857142857143,3.5,3.5
319,3.4,3,3
330,3.463157894736842,3,3
333,4.2592592592592595,4,4
337,2.95,5,5
338,3.473684210526316,5,5
344,3.632768361581921,4,4
346,3.4498480243161094,4.25,5
351,4.175,3,3
353,2.595009596928983,2.25,3.5
354,3.9038461538461537,5,5
355,3.61525974025974,2.875,4
358,3.1831442463533226,5,5
363,3.711442786069652,3.25,5
367,3.347926267281106,4,4.5
369,3.6666666666666665,4,4
370,3.97,2.8333333333333335,4
371,3.8074534161490683,4,4
373,3.5525114155251143,4,4
375,3.56,3,3
379,3.683098591549296,2.75,4
380,3.3664158043273753,2.5625,4
384,3.2329896907216495,3.4,5
385,3.494949494949495,4,4
388,3.6464646464646466,4,4
390,3.2483660130718954,3,3
393,3.1372549019607843,1,1
394,2.7853658536585364,3,3
396,3.24822695035461,4,4
400,3.586206896551724,3,3
414,2.6419753086419755,4,4
416,3.205607476635514,3,3
418,3.5833333333333335,3.5,3.5
