wday,week,year,tot
Sun,1,2016,50
Sun,1,2017,53
Sun,2,2016,43
Sun,2,2017,51
Sun,3,2016,42
Sun,3,2017,54
Sun,4,2016,48
Sun,4,2017,50
Sun,5,2016,43
Sun,5,2017,40
Sun,6,2016,38
Sun,6,2017,47
Sun,7,2016,35
Sun,7,2017,42
Sun,8,2016,49
Sun,8,2017,62
Sun,9,2016,45
Sun,9,2017,42
Sun,10,2016,40
Sun,10,2017,57
Sun,11,2016,42
Sun,11,2017,40
Sun,12,2016,51
Sun,12,2017,49
Sun,13,2016,48
Sun,13,2017,63
Sun,14,2016,48
Sun,14,2017,55
Sun,15,2016,66
Sun,15,2017,58
Sun,16,2016,66
Sun,16,2017,56
Sun,17,2016,62
Sun,17,2017,61
Sun,18,2016,54
Sun,18,2017,59
Sun,19,2016,33
Sun,19,2017,45
Sun,20,2016,59
Sun,20,2017,58
Sun,21,2016,63
Sun,21,2017,64
Sun,22,2016,37
Sun,22,2017,54
Sun,23,2016,45
Sun,23,2017,88
Sun,24,2016,67
Sun,24,2017,78
Sun,25,2016,61
Sun,25,2017,57
Sun,26,2016,62
Sun,26,2017,97
Sun,27,2016,61
Sun,27,2017,64
Sun,28,2016,62
Sun,28,2017,51
Sun,29,2016,60
Sun,29,2017,75
Sun,30,2016,79
Sun,30,2017,67
Sun,31,2016,66
Sun,31,2017,80
Sun,32,2016,65
Sun,32,2017,69
Sun,33,2016,69
Sun,33,2017,82
Sun,34,2016,64
Sun,34,2017,77
Sun,35,2016,70
Sun,35,2017,75
Sun,36,2016,45
Sun,36,2017,67
Sun,37,2016,74
Sun,37,2017,55
Sun,38,2016,77
Sun,38,2017,77
Sun,39,2016,73
Sun,39,2017,72
Sun,40,2016,46
Sun,40,2017,60
Sun,41,2016,53
Sun,41,2017,66
Sun,42,2016,87
Sun,42,2017,69
Sun,43,2016,65
Sun,43,2017,76
Sun,44,2016,67
Sun,44,2017,48
Sun,45,2016,65
Sun,45,2017,58
Sun,46,2016,61
Sun,46,2017,90
Sun,47,2016,65
Sun,47,2017,64
