year_aired,imdb,monster_real,title
1969,8.1,fake,What a Night for a Knight
1969,8.1,fake,A Clue for Scooby Doo
1969,8,fake,Hassle in the Castle
1969,7.8,fake,Mine Your Own Business
1969,7.5,fake,Decoy for a Dognapper
1969,8.4,fake,What the Hex Going On?
1969,7.6,fake,Never Ape an Ape Man
1969,8.2,fake,Foul Play in Funland
1969,8.1,fake,The Backstage Rage
1969,8,fake,Bedlam in the Big Top
1969,8.5,fake,A Gaggle of Galloping Ghosts
1969,8.2,fake,"Scooby-Doo and a Mummy, Too"
1969,8.4,fake,Which Witch is Which
1969,8.1,fake,Go Away Ghost Ship
1969,8.4,fake,Spooky Space Kook
1970,8.7,fake,A Night of Fright Is No Delight
1970,8,fake,That's Snow Ghost
1970,8.3,fake,Nowhere to Hyde
1970,7.8,fake,Mystery Mask Mix-Up
1970,7.7,fake,Scooby's Night with a Frozen Fright
1970,8.5,fake,"Jeepers, It's the Creeper"
1970,8.4,fake,Haunted House Hang-Up
1970,7.9,fake,A Tiki Scare Is No Fair
1970,8.2,fake,Who's Afraid of the Big Bad Werewolf?
1970,7.9,fake,Don't Fool with a Phantom
1972,6.9,fake,The Ghastly Ghost Town
1972,7.8,fake,The Dynamic Scooby-Doo Affair
1972,7.9,fake,Wednesday Is Missing
1972,7.9,fake,The Frickert Fracas
1972,7.9,fake,Guess Who's Knott Coming to Dinner?
1972,7.7,fake,A Good Medium Is Rare
1972,7.8,fake,Sandy Duncan's Jekyll and Hyde
1972,8.5,fake,The Secret of Shark Island
1972,7.7,fake,The Spooky Fog of Juneberry
1972,8.3,fake,The Ghost of Bigfoot
1972,7.6,fake,The Ghost of the Red Baron
1972,7.4,fake,The Ghostly Creep from the Deep
1972,7.8,fake,The Haunted Horseman of Hagglethorn Hall
1972,7.6,fake,The Phantom of the Country Music Hall
1972,7.2,fake,The Caped Crusader Caper
1972,7.9,fake,The Lochness Mess
1973,7.4,fake,The Mystery of Haunted Island
1973,7.9,fake,The Haunted Showboat
1973,7.5,real,Mystery in Persia
1973,7.4,fake,The Spirited Spooked Sports Show
1973,7.6,fake,The Exterminator
